_id,CIVIC_CENTRE,MARRIAGE_LICENSES,TIME_PERIOD,MONTH,YEAR
25170,NY,358,Aug-16,Aug,2016
25171,SC,333,Aug-16,Aug,2016
25172,TO,1072,Aug-16,Aug,2016
25173,ET,228,Sep-16,Sep,2016
25174,NY,265,Sep-16,Sep,2016
25175,SC,207,Sep-16,Sep,2016
25176,TO,656,Sep-16,Sep,2016
25177,ET,139,Oct-16,Oct,2016
25178,NY,187,Oct-16,Oct,2016
25179,SC,171,Oct-16,Oct,2016
25180,TO,489,Oct-16,Oct,2016
25181,ET,82,Nov-16,Nov,2016
25182,NY,148,Nov-16,Nov,2016
25183,SC,135,Nov-16,Nov,2016
25184,TO,388,Nov-16,Nov,2016
25185,ET,96,Dec-16,Dec,2016
25186,NY,164,Dec-16,Dec,2016
25187,SC,125,Dec-16,Dec,2016
25188,TO,362,Dec-16,Dec,2016
25189,ET,102,Jan-17,Jan,2017
25190,NY,146,Jan-17,Jan,2017
25191,SC,147,Jan-17,Jan,2017
25192,TO,347,Jan-17,Jan,2017
25193,ET,104,Feb-17,Feb,2017
25194,NY,170,Feb-17,Feb,2017
25195,SC,139,Feb-17,Feb,2017
25196,TO,357,Feb-17,Feb,2017
25197,ET,183,Mar-17,Mar,2017
25198,NY,237,Mar-17,Mar,2017
25199,SC,223,Mar-17,Mar,2017
25200,TO,608,Mar-17,Mar,2017
25201,ET,173,Apr-17,Apr,2017
25202,NY,276,Apr-17,Apr,2017
25203,SC,222,Apr-17,Apr,2017
25204,TO,627,Apr-17,Apr,2017
25205,ET,234,May-17,May,2017
25206,NY,323,May-17,May,2017
25207,SC,323,May-17,May,2017
25208,TO,894,May-17,May,2017
25209,ET,250,Jun-17,Jun,2017
25210,NY,350,Jun-17,Jun,2017
25211,SC,346,Jun-17,Jun,2017
25212,TO,943,Jun-17,Jun,2017
25213,ET,287,Jul-17,Jul,2017
25214,NY,367,Jul-17,Jul,2017
25215,SC,320,Jul-17,Jul,2017
25216,TO,971,Jul-17,Jul,2017
25217,ET,324,Aug-17,Aug,2017
25218,NY,344,Aug-17,Aug,2017
25219,SC,312,Aug-17,Aug,2017
25220,TO,1066,Aug-17,Aug,2017
25221,ET,207,Sep-17,Sep,2017
25222,NY,268,Sep-17,Sep,2017
25223,SC,233,Sep-17,Sep,2017
25224,TO,729,Sep-17,Sep,2017
25225,ET,144,Oct-17,Oct,2017
25226,NY,219,Oct-17,Oct,2017
25227,SC,194,Oct-17,Oct,2017
25228,TO,552,Oct-17,Oct,2017
25229,ET,98,Nov-17,Nov,2017
25230,NY,185,Nov-17,Nov,2017
25231,SC,160,Nov-17,Nov,2017
25232,TO,393,Nov-17,Nov,2017
25233,ET,114,Dec-17,Dec,2017
25234,NY,156,Dec-17,Dec,2017
25235,SC,132,Dec-17,Dec,2017
25236,TO,385,Dec-17,Dec,2017
25237,ET,128,Jan-18,Jan,2018
25238,NY,156,Jan-18,Jan,2018
25239,SC,156,Jan-18,Jan,2018
25240,TO,375,Jan-18,Jan,2018
25241,ET,145,Feb-18,Feb,2018
25242,NY,182,Feb-18,Feb,2018
25243,SC,149,Feb-18,Feb,2018
25244,TO,344,Feb-18,Feb,2018
25245,ET,177,Mar-18,Mar,2018
25246,NY,235,Mar-18,Mar,2018
25247,SC,187,Mar-18,Mar,2018
25248,TO,538,Mar-18,Mar,2018
25249,ET,188,Apr-18,Apr,2018
25250,NY,238,Apr-18,Apr,2018
25251,SC,239,Apr-18,Apr,2018
25252,TO,657,Apr-18,Apr,2018
25253,ET,229,May-18,May,2018
25254,NY,337,May-18,May,2018
25255,SC,302,May-18,May,2018
25256,TO,880,May-18,May,2018
25257,ET,279,Jun-18,Jun,2018
25258,NY,337,Jun-18,Jun,2018
25259,SC,338,Jun-18,Jun,2018
25260,TO,964,Jun-18,Jun,2018
25261,ET,324,Jul-18,Jul,2018
25262,NY,408,Jul-18,Jul,2018
25263,SC,347,Jul-18,Jul,2018
25264,TO,1090,Jul-18,Jul,2018
25265,ET,365,Aug-18,Aug,2018
25266,NY,323,Aug-18,Aug,2018
25267,SC,392,Aug-18,Aug,2018
25268,TO,1117,Aug-18,Aug,2018
25269,ET,209,Sep-18,Sep,2018
25270,NY,256,Sep-18,Sep,2018
25271,SC,216,Sep-18,Sep,2018
25272,TO,719,Sep-18,Sep,2018
25273,ET,187,Oct-18,Oct,2018
25274,NY,227,Oct-18,Oct,2018
25275,SC,186,Oct-18,Oct,2018
25276,TO,582,Oct-18,Oct,2018
25277,ET,140,Nov-18,Nov,2018
25278,NY,199,Nov-18,Nov,2018
25279,SC,169,Nov-18,Nov,2018
25280,TO,397,Nov-18,Nov,2018
25281,ET,108,Dec-18,Dec,2018
25282,NY,157,Dec-18,Dec,2018
25283,SC,123,Dec-18,Dec,2018
25284,TO,329,Dec-18,Dec,2018
25285,ET,123,Jan-19,Jan,2019
25286,NY,162,Jan-19,Jan,2019
25287,SC,151,Jan-19,Jan,2019
25288,TO,341,Jan-19,Jan,2019
25289,ET,143,Feb-19,Feb,2019
25290,NY,190,Feb-19,Feb,2019
25291,SC,158,Feb-19,Feb,2019
25292,TO,382,Feb-19,Feb,2019
25293,ET,170,Mar-19,Mar,2019
25294,NY,236,Mar-19,Mar,2019
25295,SC,240,Mar-19,Mar,2019
25296,TO,576,Mar-19,Mar,2019
25297,ET,193,Apr-19,Apr,2019
25298,NY,290,Apr-19,Apr,2019
25299,SC,237,Apr-19,Apr,2019
